,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),AT (degree C),SR (W/mt2),RH (%),WS (m/s),WD (degree),BP (mmHg),RF (mm),SO2 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),TOT-RF (mm)
4885,09-Jan-2022 - 13:00,09-Jan-2022 - 14:00,39.5,44.05,18.74,160.33,89.04,0.35,171.12,750.0,0.0,2.86,2.31,2.86,5.17,22.82,0.64,17.06,0.0,,,,,,0.0
4886,09-Jan-2022 - 14:00,09-Jan-2022 - 15:00,29.45,36.5,19.15,84.47,87.28,0.27,176.14,749.82,0.0,2.89,2.26,3.04,5.29,24.49,0.68,14.22,0.0,,,,,,0.0
4887,09-Jan-2022 - 15:00,09-Jan-2022 - 16:00,36.1,41.8,18.67,33.47,88.69,0.22,162.69,749.59,0.0,2.97,2.53,3.1,5.62,25.45,0.74,8.15,0.0,,,,,,0.0
4888,09-Jan-2022 - 16:00,09-Jan-2022 - 17:00,32.85,41.05,17.72,16.84,92.96,0.3,209.86,749.77,0.0,2.79,2.62,3.64,6.26,25.48,0.78,5.05,0.0,,,,,,0.0
4889,09-Jan-2022 - 17:00,09-Jan-2022 - 18:00,39.2,48.45,16.97,2.74,95.78,0.22,170.34,749.92,0.0,2.86,2.96,3.81,6.77,25.9,0.86,1.33,0.0,,,,,,0.0
4890,09-Jan-2022 - 18:00,09-Jan-2022 - 19:00,43.25,51.25,16.17,,97.53,0.21,122.32,749.97,0.0,3.0,3.27,5.14,8.41,24.96,0.98,0.87,0.0,,,,,,0.0
4891,09-Jan-2022 - 19:00,09-Jan-2022 - 20:00,54.35,64.05,15.71,,98.27,0.21,177.97,750.0,0.0,2.85,4.11,3.63,7.75,23.57,1.12,0.5,0.0,,,,,,0.0
4892,09-Jan-2022 - 20:00,09-Jan-2022 - 21:00,71.4,82.6,15.03,,98.64,0.23,182.88,750.0,0.0,2.79,5.14,3.14,8.28,22.79,1.28,0.42,0.0,,,,,,0.0
4893,09-Jan-2022 - 21:00,09-Jan-2022 - 22:00,78.2,83.45,14.85,,98.98,0.24,182.37,750.0,0.0,2.95,5.61,2.95,8.56,27.29,1.37,0.24,0.0,,,,,,0.0
4894,09-Jan-2022 - 22:00,09-Jan-2022 - 23:00,75.85,86.75,14.75,,99.27,0.29,173.54,750.0,0.0,3.17,5.72,4.46,10.19,26.05,1.48,0.79,0.0,,,,,,0.0
4895,09-Jan-2022 - 23:00,10-Jan-2022 - 00:00,81.4,92.7,14.42,,99.34,0.23,188.78,750.0,0.0,2.99,6.61,2.31,8.93,24.76,1.54,0.58,0.0,,,,,,0.0
4896,10-Jan-2022 - 00:00,10-Jan-2022 - 01:00,80.05,86.91,13.65,,99.47,0.3,246.23,750.0,0.0,3.04,7.38,1.86,9.23,28.38,1.57,0.3,0.0,,,,,,0.0
4897,10-Jan-2022 - 01:00,10-Jan-2022 - 02:00,70.5,81.65,14.07,,99.91,0.34,230.37,750.0,0.0,3.19,8.57,4.83,13.4,25.01,1.55,0.46,0.0,,,,,,0.0
4898,10-Jan-2022 - 02:00,10-Jan-2022 - 03:00,62.15,73.3,13.52,,99.89,0.22,148.76,749.94,0.0,2.98,7.27,4.59,11.86,23.15,1.42,0.62,0.0,,,,,,0.0
4899,10-Jan-2022 - 03:00,10-Jan-2022 - 04:00,49.15,54.55,13.88,,99.96,0.32,222.22,749.64,0.0,2.91,6.97,3.96,10.92,26.83,1.36,1.34,0.0,,,,,,0.0
