,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),AT (degree C),Temp (degree C),SR (W/mt2),RH (%),WS (m/s),WD (degree),BP (mmHg),RF (mm),SO2 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Eth-Benzene,MP-Xylene,O Xylene,Toluene (ug/m3),VWS (m/s),TOT-RF (mm)
100,25-Jul-2019 - 04:00,25-Jul-2019 - 05:00,,,,,,,,,,,,,,,,,,,,,,,0.0
101,25-Jul-2019 - 05:00,25-Jul-2019 - 06:00,,,,,,,,,,,,,,,,,,,,,,,0.0
102,25-Jul-2019 - 06:00,25-Jul-2019 - 07:00,,,,,,,,,,,,,,,,,,,,,,,0.0
103,25-Jul-2019 - 07:00,25-Jul-2019 - 08:00,,,,,,,,,,,,,,,,,,,,,,,0.0
104,25-Jul-2019 - 08:00,25-Jul-2019 - 09:00,,,,,,,,,,,,,,,,,,,,,,,0.0
105,25-Jul-2019 - 09:00,25-Jul-2019 - 10:00,,,,,,,,,,,,,,,,,,,,,,,0.0
106,25-Jul-2019 - 10:00,25-Jul-2019 - 11:00,,,,,,,,,,,,,,,,,,,,,,,0.0
107,25-Jul-2019 - 11:00,25-Jul-2019 - 12:00,,,,,,,,,,,,,,,,,,,,,,,0.0
108,25-Jul-2019 - 12:00,25-Jul-2019 - 13:00,,,,,,,,,,,,,,,,,,,,,,,0.0
109,25-Jul-2019 - 13:00,25-Jul-2019 - 14:00,,,,,,,,,,,,,,,,,,,,,,,0.0
110,25-Jul-2019 - 14:00,25-Jul-2019 - 15:00,,,,,,,,,,,,,,,,,,,,,,,0.0
111,25-Jul-2019 - 15:00,25-Jul-2019 - 16:00,,,,,,,,,,,,,,,,,,,,,,,0.0
112,25-Jul-2019 - 16:00,25-Jul-2019 - 17:00,,,,,,,,,,,,,,,,,,,,,,,0.0
113,25-Jul-2019 - 17:00,25-Jul-2019 - 18:00,,,,,,,,,,,,,,,,,,,,,,,0.0
114,25-Jul-2019 - 18:00,25-Jul-2019 - 19:00,,,,,,,,,,,,,,,,,,,,,,,0.0
115,25-Jul-2019 - 19:00,25-Jul-2019 - 20:00,,,,,,,,,,,,,,,,,,,,,,,0.0
116,25-Jul-2019 - 20:00,25-Jul-2019 - 21:00,,,,,,,,,,,,,,,,,,,,,,,0.0
117,25-Jul-2019 - 21:00,25-Jul-2019 - 22:00,,,,,,,,,,,,,,,,,,,,,,,0.0
118,25-Jul-2019 - 22:00,25-Jul-2019 - 23:00,,,,,,,,,,,,,,,,,,,,,,,0.0
119,25-Jul-2019 - 23:00,26-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,0.0
120,26-Jul-2019 - 00:00,26-Jul-2019 - 01:00,,,,,,,,,,,,,,,,,,,,,,,0.0
121,26-Jul-2019 - 01:00,26-Jul-2019 - 02:00,,,,,,,,,,,,,,,,,,,,,,,0.0
122,26-Jul-2019 - 02:00,26-Jul-2019 - 03:00,,,,,,,,,,,,,,,,,,,,,,,0.0
123,26-Jul-2019 - 03:00,26-Jul-2019 - 04:00,,,,,,,,,,,,,,,,,,,,,,,0.0
124,26-Jul-2019 - 04:00,26-Jul-2019 - 05:00,,,,,,,,,,,,,,,,,,,,,,,0.0
125,26-Jul-2019 - 05:00,26-Jul-2019 - 06:00,,,,,,,,,,,,,,,,,,,,,,,0.0
126,26-Jul-2019 - 06:00,26-Jul-2019 - 07:00,,,,,,,,,,,,,,,,,,,,,,,0.0
127,26-Jul-2019 - 07:00,26-Jul-2019 - 08:00,,,,,,,,,,,,,,,,,,,,,,,0.0
128,26-Jul-2019 - 08:00,26-Jul-2019 - 09:00,,,,,,,,,,,,,,,,,,,,,,,0.0
129,26-Jul-2019 - 09:00,26-Jul-2019 - 10:00,,,,,,,,,,,,,,,,,,,,,,,0.0
130,26-Jul-2019 - 10:00,26-Jul-2019 - 11:00,,,,,,,,,,,,,,,,,,,,,,,0.0
131,26-Jul-2019 - 11:00,26-Jul-2019 - 12:00,,,,,,,,,,,,,,,,,,,,,,,0.0
132,26-Jul-2019 - 12:00,26-Jul-2019 - 13:00,,,,,,,,,,,,,,,,,,,,,,,0.0
133,26-Jul-2019 - 13:00,26-Jul-2019 - 14:00,,,,,,,,,,,,,,,,,,,,,,,0.0
134,26-Jul-2019 - 14:00,26-Jul-2019 - 15:00,,,,,,,,,,,,,,,,,,,,,,,0.0
135,26-Jul-2019 - 15:00,26-Jul-2019 - 16:00,,,,,,,,,,,,,,,,,,,,,,,0.0
136,26-Jul-2019 - 16:00,26-Jul-2019 - 17:00,,,,,,,,,,,,,,,,,,,,,,,0.0
137,26-Jul-2019 - 17:00,26-Jul-2019 - 18:00,,,,,,,,,,,,,,,,,,,,,,,0.0
138,26-Jul-2019 - 18:00,26-Jul-2019 - 19:00,,,,,,,,,,,,,,,,,,,,,,,0.0
139,26-Jul-2019 - 19:00,26-Jul-2019 - 20:00,,,,,,,,,,,,,,,,,,,,,,,0.0
140,26-Jul-2019 - 20:00,26-Jul-2019 - 21:00,,,,,,,,,,,,,,,,,,,,,,,0.0
141,26-Jul-2019 - 21:00,26-Jul-2019 - 22:00,,,,,,,,,,,,,,,,,,,,,,,0.0
142,26-Jul-2019 - 22:00,26-Jul-2019 - 23:00,,,,,,,,,,,,,,,,,,,,,,,0.0
143,26-Jul-2019 - 23:00,27-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,0.0
144,27-Jul-2019 - 00:00,27-Jul-2019 - 01:00,,,,,,,,,,,,,,,,,,,,,,,0.0
145,27-Jul-2019 - 01:00,27-Jul-2019 - 02:00,,,,,,,,,,,,,,,,,,,,,,,0.0
146,27-Jul-2019 - 02:00,27-Jul-2019 - 03:00,,,,,,,,,,,,,,,,,,,,,,,0.0
147,27-Jul-2019 - 03:00,27-Jul-2019 - 04:00,,,,,,,,,,,,,,,,,,,,,,,0.0
148,27-Jul-2019 - 04:00,27-Jul-2019 - 05:00,,,,,,,,,,,,,,,,,,,,,,,0.0
149,27-Jul-2019 - 05:00,27-Jul-2019 - 06:00,,,,,,,,,,,,,,,,,,,,,,,0.0
150,27-Jul-2019 - 06:00,27-Jul-2019 - 07:00,,,,,,,,,,,,,,,,,,,,,,,0.0
151,27-Jul-2019 - 07:00,27-Jul-2019 - 08:00,,,,,,,,,,,,,,,,,,,,,,,0.0
152,27-Jul-2019 - 08:00,27-Jul-2019 - 09:00,,,,,,,,,,,,,,,,,,,,,,,0.0
153,27-Jul-2019 - 09:00,27-Jul-2019 - 10:00,,,,,,,,,,,,,,,,,,,,,,,0.0
154,27-Jul-2019 - 10:00,27-Jul-2019 - 11:00,,,,,,,,,,,,,,,,,,,,,,,0.0
155,27-Jul-2019 - 11:00,27-Jul-2019 - 12:00,,,,,,,,,,,,,,,,,,,,,,,0.0
156,27-Jul-2019 - 12:00,27-Jul-2019 - 13:00,,,,,,,,,,,,,,,,,,,,,,,0.0
157,27-Jul-2019 - 13:00,27-Jul-2019 - 14:00,,,,,,,,,,,,,,,,,,,,,,,0.0
158,27-Jul-2019 - 14:00,27-Jul-2019 - 15:00,,,,,,,,,,,,,,,,,,,,,,,0.0
159,27-Jul-2019 - 15:00,27-Jul-2019 - 16:00,,,,,,,,,,,,,,,,,,,,,,,0.0
160,27-Jul-2019 - 16:00,27-Jul-2019 - 17:00,,,,,,,,,,,,,,,,,,,,,,,0.0
161,27-Jul-2019 - 17:00,27-Jul-2019 - 18:00,,,,,,,,,,,,,,,,,,,,,,,0.0
162,27-Jul-2019 - 18:00,27-Jul-2019 - 19:00,,,,,,,,,,,,,,,,,,,,,,,0.0
163,27-Jul-2019 - 19:00,27-Jul-2019 - 20:00,,,,,,,,,,,,,,,,,,,,,,,0.0
164,27-Jul-2019 - 20:00,27-Jul-2019 - 21:00,,,,,,,,,,,,,,,,,,,,,,,0.0
165,27-Jul-2019 - 21:00,27-Jul-2019 - 22:00,,,,,,,,,,,,,,,,,,,,,,,0.0
166,27-Jul-2019 - 22:00,27-Jul-2019 - 23:00,,,,,,,,,,,,,,,,,,,,,,,0.0
167,27-Jul-2019 - 23:00,28-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,0.0
168,28-Jul-2019 - 00:00,28-Jul-2019 - 01:00,,,,,,,,,,,,,,,,,,,,,,,0.0
169,28-Jul-2019 - 01:00,28-Jul-2019 - 02:00,,,,,,,,,,,,,,,,,,,,,,,0.0
170,28-Jul-2019 - 02:00,28-Jul-2019 - 03:00,,,,,,,,,,,,,,,,,,,,,,,0.0
171,28-Jul-2019 - 03:00,28-Jul-2019 - 04:00,,,,,,,,,,,,,,,,,,,,,,,0.0
172,28-Jul-2019 - 04:00,28-Jul-2019 - 05:00,,,,,,,,,,,,,,,,,,,,,,,0.0
173,28-Jul-2019 - 05:00,28-Jul-2019 - 06:00,,,,,,,,,,,,,,,,,,,,,,,0.0
174,28-Jul-2019 - 06:00,28-Jul-2019 - 07:00,,,,,,,,,,,,,,,,,,,,,,,0.0
175,28-Jul-2019 - 07:00,28-Jul-2019 - 08:00,,,,,,,,,,,,,,,,,,,,,,,0.0
176,28-Jul-2019 - 08:00,28-Jul-2019 - 09:00,,,,,,,,,,,,,,,,,,,,,,,0.0
177,28-Jul-2019 - 09:00,28-Jul-2019 - 10:00,,,,,,,,,,,,,,,,,,,,,,,0.0
178,28-Jul-2019 - 10:00,28-Jul-2019 - 11:00,,,,,,,,,,,,,,,,,,,,,,,0.0
179,28-Jul-2019 - 11:00,28-Jul-2019 - 12:00,,,,,,,,,,,,,,,,,,,,,,,0.0
180,28-Jul-2019 - 12:00,28-Jul-2019 - 13:00,,,,,,,,,,,,,,,,,,,,,,,0.0
181,28-Jul-2019 - 13:00,28-Jul-2019 - 14:00,,,,,,,,,,,,,,,,,,,,,,,0.0
182,28-Jul-2019 - 14:00,28-Jul-2019 - 15:00,,,,,,,,,,,,,,,,,,,,,,,0.0
183,28-Jul-2019 - 15:00,28-Jul-2019 - 16:00,,,,,,,,,,,,,,,,,,,,,,,0.0
184,28-Jul-2019 - 16:00,28-Jul-2019 - 17:00,,,,,,,,,,,,,,,,,,,,,,,0.0
185,28-Jul-2019 - 17:00,28-Jul-2019 - 18:00,,,,,,,,,,,,,,,,,,,,,,,0.0
